t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00011333333333333336,3.5186577527449845e-05,9.38457182186729e-05,0.00013282094844799383,0.0001,0.0001,0.0001,0.0001,0.00015999999999999999,0.0001,0.0002
15,12.0,0.00011666666666666668,3.892494720807616e-05,9.193476837864007e-05,0.0001413985649546933,0.0001,0.0001,0.0001,0.0001,0.00019000000000000004,0.0001,0.0002
16,3.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
30,11.0,0.0001181818181818182,4.0451991747794534e-05,9.100749388798437e-05,0.000145356142475652,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
31,3.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
45,11.0,0.0001181818181818182,4.0451991747794534e-05,9.100749388798437e-05,0.000145356142475652,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
46,2.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
48,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
52,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
60,11.0,0.0001181818181818182,4.0451991747794534e-05,9.100749388798437e-05,0.000145356142475652,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
61,2.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
63,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
67,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
75,10.0,0.00012000000000000002,4.2163702135578394e-05,8.984000000000002e-05,0.00015016,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
76,3.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
78,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
82,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
90,8.0,0.0001125,3.535533905932738e-05,8.29375e-05,0.0001420625,0.0001,0.0001,0.0001,0.0001,0.00013,0.0001,0.0002
91,5.0,0.00012000000000000002,4.4721359549995795e-05,6.448000000000003e-05,0.00017552,0.0001,0.0001,0.0001,0.0001,0.00016,0.0001,0.0002
93,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
97,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
105,7.0,0.00011428571428571431,3.779644730092272e-05,7.932857142857146e-05,0.00014924285714285716,0.0001,0.0001,0.0001,0.0001,0.00014000000000000004,0.0001,0.0002
106,6.0,0.00011666666666666668,4.08248290463863e-05,7.381666666666668e-05,0.00015951666666666668,0.0001,0.0001,0.0001,0.0001,0.00015000000000000001,0.0001,0.0002
112,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
113,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
120,6.0,0.00011666666666666668,4.0824829046386304e-05,7.381666666666667e-05,0.0001595166666666667,0.0001,0.0001,0.0001,0.0001,0.00015000000000000001,0.0001,0.0002
121,7.0,0.00011428571428571431,3.779644730092272e-05,7.932857142857146e-05,0.00014924285714285716,0.0001,0.0001,0.0001,0.0001,0.00014000000000000004,0.0001,0.0002
127,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
128,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
135,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
136,9.0,0.00012222222222222224,4.409585518440984e-05,8.832720820380588e-05,0.0001561172362406386,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
142,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
143,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
150,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
151,8.0,0.0001125,3.535533905932738e-05,8.29375e-05,0.0001420625,0.0001,0.0001,0.0001,0.0001,0.00013,0.0001,0.0002
152,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
157,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
158,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
165,3.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
166,9.0,0.00011111111111111112,3.3333333333333335e-05,8.548888888888889e-05,0.00013673333333333334,0.0001,0.0001,0.0001,0.0001,0.00012000000000000002,0.0001,0.0002
167,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
